id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime,popularity,year_released,release_day,release_month,domestic_gross_in_mill,production_budget_in_mill,domestic_net_in_mill,Return_on_Investment,release_day_num,release_month_num
92,2002-09-06,City by the Sea,40000000,22433915,,,,,2002,Friday,September,22.433915,40.0,-17.566085,-43.9152125,6,9
94,2016-08-26,Mechanic: Resurrection,40000000,21218403,"Action,Adventure,Thriller",tt3522806,98.0,16.302,2016,Friday,August,21.218403,40.0,-18.781597,-46.95399250000001,26,8
95,2004-01-16,Torque,40000000,21176322,,,,,2004,Friday,January,21.176322,40.0,-18.823678,-47.059195,16,1
96,2009-11-13,Fantastic Mr. Fox,40000000,21002919,,,,,2009,Friday,November,21.002919,40.0,-18.997081,-47.49270250000001,13,11
99,2012-02-03,Big Miracle,40000000,20157300,"Biography,Drama,Family",tt1430615,107.0,6.76,2012,Friday,February,20.1573,40.0,-19.8427,-49.60675,3,2
100,2012-12-21,The Impossible,40000000,19019882,"Drama,History,Thriller",tt1649419,114.0,14.66,2012,Friday,December,19.019882,40.0,-20.980118,-52.450295,21,12
1,2012-03-09,A Thousand Words,40000000,18450127,"Comedy,Drama",tt0763831,91.0,8.017000000000001,2012,Friday,March,18.450127,40.0,-21.549873,-53.87468250000001,9,3
2,2006-10-20,Marie Antoinette,40000000,15962471,,,,,2006,Friday,October,15.962471,40.0,-24.037529,-60.093822499999995,20,10
3,2000-10-06,Get Carter,40000000,14967182,,,,,2000,Friday,October,14.967182,40.0,-25.032818,-62.582044999999994,6,10
5,2002-04-26,"Life, or Something Like It",40000000,14448589,,,,,2002,Friday,April,14.448589000000002,40.0,-25.551411,-63.878527500000004,26,4
8,2009-10-23,Amelia,40000000,14279575,,,,,2009,Friday,October,14.279575,40.0,-25.720425,-64.3010625,23,10
9,2009-10-23,Cirque du Freak: The Vampire's Assistant,40000000,14046595,,,,,2009,Friday,October,14.046595000000002,40.0,-25.953405,-64.8835125,23,10
10,2004-05-07,New York Minute,40000000,14018364,,,,,2004,Friday,May,14.018364000000002,40.0,-25.981636,-64.95409000000001,7,5
12,2004-11-05,Alfie,40000000,13395939,,,,,2004,Friday,November,13.395939000000002,40.0,-26.604061,-66.5101525,5,11
13,2002-08-30,FearDotCom,40000000,13208023,,,,,2002,Friday,August,13.208023,40.0,-26.791977000000006,-66.9799425,30,8
14,2008-11-07,Soul Men,40000000,12082391,,,,,2008,Friday,November,12.082391,40.0,-27.917609,-69.7940225,7,11
15,2015-03-20,The Gunman,40000000,10664749,"Action,Crime,Drama",tt2515034,115.0,10.388,2015,Friday,March,10.664749,40.0,-29.335251,-73.3381275,20,3
