id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime,popularity,year_released,release_day,release_month,domestic_gross_in_mill,production_budget_in_mill,domestic_net_in_mill,Return_on_Investment,release_day_num,release_month_num
1,2009-12-18,Avatar,425000000,760507625,Horror,tt1775309,93.0,26.526,2009,Friday,December,760.507625,425.0,335.507625,78.94297058823528,18,12
3,2019-06-07,Dark Phoenix,350000000,42762350,"Action,Adventure,Sci-Fi",tt6565702,113.0,,2019,Friday,June,42.76235,350.0,-307.2376500000001,-87.78218571428572,7,6
4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,"Action,Adventure,Sci-Fi",tt2395427,141.0,44.383,2015,Friday,May,459.005868,330.6,128.405868,38.8402504537205,1,5
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,,,,,2017,Friday,December,620.181382,317.0,303.181382,95.64081451104099,15,12
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,,,,,2015,Friday,December,936.662225,306.0,630.662225,206.09876633986926,18,12
7,2018-04-27,Avengers: Infinity War,300000000,678815482,"Action,Adventure,Sci-Fi",tt4154756,149.0,80.773,2018,Friday,April,678.815482,300.0,378.815482,126.27182733333332,27,4
8,2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000,309420425,,,,,2007,Thursday,May,309.420425,300.0,9.420425000000025,3.1401416666666746,24,5
9,2017-11-17,Justice League,300000000,229024295,"Action,Adventure,Fantasy",tt0974015,120.0,34.953,2017,Friday,November,229.024295,300.0,-70.975705,-23.65856833333333,17,11
10,2015-11-06,Spectre,300000000,200074175,"Action,Adventure,Thriller",tt2379713,148.0,30.318,2015,Friday,November,200.074175,300.0,-99.925825,-33.30860833333333,6,11
11,2012-07-20,The Dark Knight Rises,275000000,448139099,"Action,Thriller",tt1345836,164.0,26.22,2012,Friday,July,448.139099,275.0,173.139099,62.95967236363636,20,7
12,2018-05-25,Solo: A Star Wars Story,275000000,213767512,"Action,Adventure,Fantasy",tt3778644,135.0,29.502,2018,Friday,May,213.767512,275.0,-61.23248799999999,-22.266359272727264,25,5
13,2013-07-02,The Lone Ranger,275000000,89302115,"Action,Adventure,Western",tt1210819,150.0,12.482000000000001,2013,Tuesday,July,89.302115,275.0,-185.697885,-67.52650363636363,2,7
14,2012-03-09,John Carter,275000000,73058679,"Action,Adventure,Sci-Fi",tt0401729,132.0,18.549,2012,Friday,March,73.058679,275.0,-201.941321,-73.43320763636362,9,3
15,2010-11-24,Tangled,260000000,200821936,"Adventure,Animation,Comedy",tt0398286,100.0,21.511,2010,Wednesday,November,200.821936,260.0,-59.178064000000006,-22.76079384615385,24,11
16,2007-05-04,Spider-Man 3,258000000,336530303,,,,,2007,Friday,May,336.530303,258.0,78.530303,30.43810193798449,4,5
17,2016-05-06,Captain America: Civil War,250000000,408084349,"Action,Adventure,Sci-Fi",tt3498820,147.0,39.137,2016,Friday,May,408.084349,250.0,158.08434899999997,63.23373959999999,6,5
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,"Action,Adventure,Fantasy",tt2975590,151.0,28.088,2016,Friday,March,330.360194,250.0,80.36019399999998,32.1440776,25,3
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,"Adventure,Family,Fantasy",tt0903624,169.0,26.939,2012,Friday,December,303.0035680000001,250.0,53.00356799999997,21.201427199999987,14,12
20,2009-07-15,Harry Potter and the Half-Blood Prince,250000000,302089278,,,,,2009,Wednesday,July,302.089278,250.0,52.08927799999998,20.835711199999988,15,7
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,"Adventure,Fantasy",tt1170358,161.0,21.275,2013,Friday,December,258.366855,250.0,8.366854999999987,3.3467419999999954,13,12
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,"Adventure,Fantasy",tt2310332,144.0,53.783,2014,Wednesday,December,255.119788,250.0,5.119788,2.0479152000000003,17,12
23,2017-04-14,The Fate of the Furious,250000000,225764765,"Action,Crime,Thriller",tt4630562,136.0,28.66800000000001,2017,Friday,April,225.764765,250.0,-24.23523499999999,-9.694093999999996,14,4
24,2006-06-28,Superman Returns,232000000,200120000,,,,,2006,Wednesday,June,200.12,232.0,-31.879999999999995,-13.741379310344826,28,6
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,"Action,Adventure,Fantasy",tt1790809,129.0,28.101,2017,Friday,May,172.558876,230.0,-57.441124,-24.974401739130435,26,5
26,2008-11-14,Quantum of Solace,230000000,169368427,,,,,2008,Friday,November,169.368427,230.0,-60.631573,-26.36155347826087,14,11
27,2012-05-04,The Avengers,225000000,623279547,"Action,Adventure,Sci-Fi",tt0848228,143.0,50.288999999999994,2012,Friday,May,623.279547,225.0,398.279547,177.01313199999996,4,5
28,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,225000000,423315812,,,,,2006,Friday,July,423.315812,225.0,198.315812,88.14036088888889,7,7
29,2013-06-14,Man of Steel,225000000,291045518,"Action,Adventure,Sci-Fi",tt0770828,143.0,27.666999999999998,2013,Friday,June,291.045518,225.0,66.04551800000002,29.353563555555557,14,6
30,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000,141621490,,,,,2008,Friday,May,141.62149,225.0,-83.37850999999998,-37.05711555555556,16,5
31,2012-07-03,The Amazing Spider-Man,220000000,262030663,"Action,Adventure,Sci-Fi",tt0948470,136.0,24.391,2012,Tuesday,July,262.030663,220.0,42.030663,19.10484681818182,3,7
32,2012-05-18,Battleship,220000000,65233400,"Action,Adventure,Sci-Fi",tt1440129,131.0,21.741999999999997,2012,Friday,May,65.2334,220.0,-154.76659999999995,-70.34845454545454,18,5
33,2017-06-21,Transformers: The Last Knight,217000000,130168683,"Action,Adventure,Sci-Fi",tt3371366,154.0,24.25800000000001,2017,Wednesday,June,130.16868300000002,217.0,-86.83131700000001,-40.01443179723504,21,6
34,2015-06-12,Jurassic World,215000000,652270625,"Action,Adventure,Sci-Fi",tt0369610,124.0,20.709,2015,Friday,June,652.270625,215.0,437.270625,203.38168604651162,12,6
35,2012-05-25,Men in Black 3,215000000,179020854,"Action,Adventure,Comedy",tt1409024,106.0,26.176,2012,Friday,May,179.020854,215.0,-35.979145999999986,-16.7344865116279,25,5
36,2009-06-24,Transformers: Revenge of the Fallen,210000000,402111870,,,,,2009,Wednesday,June,402.11187,210.0,192.11187,91.48184285714287,24,6
37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,"Action,Adventure,Sci-Fi",tt2109248,165.0,20.961,2014,Friday,June,245.439076,210.0,35.439076,16.875750476190476,27,6
38,2006-05-26,X-Men: The Last Stand,210000000,234362462,,,,,2006,Friday,May,234.362462,210.0,24.362461999999994,11.601172380952375,26,5
39,2010-05-14,Robin Hood,210000000,105487148,"Action,Adventure,Drama",tt0955308,140.0,15.444,2010,Friday,May,105.487148,210.0,-104.512852,-49.768024761904755,14,5
40,2005-12-14,King Kong,207000000,218080025,"Action,Adventure",tt7733440,,,2005,Wednesday,December,218.080025,207.0,11.080025000000004,5.352669082125606,14,12
41,2007-12-07,The Golden Compass,205000000,70107728,,,,,2007,Friday,December,70.10772800000001,205.0,-134.892272,-65.80110829268294,7,12
42,2018-02-16,Black Panther,200000000,700059566,"Action,Adventure,Sci-Fi",tt1825683,134.0,2.0580000000000003,2018,Friday,February,700.059566,200.0,500.059566,250.029783,16,2
44,2018-06-15,Incredibles 2,200000000,608581744,"Action,Adventure,Animation",tt3606756,118.0,36.286,2018,Friday,June,608.5817440000002,200.0,408.581744,204.290872,15,6
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,"Action,Adventure,Sci-Fi",tt3748528,133.0,21.401,2016,Friday,December,532.177324,200.0,332.177324,166.088662,16,12
46,2016-06-17,Finding Dory,200000000,486295561,"Adventure,Animation,Comedy",tt2277860,97.0,15.392999999999999,2016,Friday,June,486.295561,200.0,286.295561,143.14778049999995,17,6
47,2010-06-18,Toy Story 3,200000000,415004880,"Adventure,Animation,Comedy",tt0435761,103.0,24.445,2010,Friday,June,415.00488,200.0,215.00488,107.50243999999999,18,6
48,2013-05-03,Iron Man 3,200000000,408992272,"Action,Adventure,Sci-Fi",tt1300854,130.0,32.093,2013,Friday,May,408.992272,200.0,208.992272,104.496136,3,5
49,2017-05-05,Guardians of the Galaxy Vol 2,200000000,389813101,,,,,2017,Friday,May,389.813101,200.0,189.813101,94.9065505,5,5
50,2004-06-30,Spider-Man 2,200000000,373524485,,,,,2004,Wednesday,June,373.524485,200.0,173.52448500000003,86.76224250000001,30,6
51,2010-03-05,Alice in Wonderland,200000000,334191110,"Adventure,Family,Fantasy",tt1014759,108.0,22.02,2010,Friday,March,334.1911100000001,200.0,134.19110999999998,67.09555499999999,5,3
52,2012-11-08,Skyfall,200000000,304360277,"Action,Adventure,Thriller",tt1074638,143.0,19.27,2012,Thursday,November,304.360277,200.0,104.360277,52.1801385,8,11
53,2013-06-21,Monsters University,200000000,268488329,"Adventure,Animation,Comedy",tt1453405,104.0,20.33,2013,Friday,June,268.488329,200.0,68.48832900000002,34.24416450000001,21,6
54,2013-03-08,Oz the Great and Powerful,200000000,234770996,"Adventure,Family,Fantasy",tt1623205,130.0,13.377,2013,Friday,March,234.770996,200.0,34.770996000000004,17.385498000000002,8,3
55,2014-05-23,X-Men: Days of Future Past,200000000,233921534,"Action,Adventure,Sci-Fi",tt1877832,132.0,41.867,2014,Friday,May,233.921534,200.0,33.92153400000001,16.960767000000004,23,5
56,2014-05-02,The Amazing Spider-Man 2,200000000,202853933,"Action,Adventure,Sci-Fi",tt1872181,142.0,20.846999999999998,2014,Friday,May,202.853933,200.0,2.853933000000012,1.426966500000006,2,5
57,2011-06-24,Cars 2,200000000,191450875,"Adventure,Animation,Comedy",tt1216475,106.0,23.498,2011,Friday,June,191.450875,200.0,-8.549125000000004,-4.274562500000002,24,6
58,2010-12-17,Tron: Legacy,200000000,172062763,,,,,2010,Friday,December,172.062763,200.0,-27.93723700000001,-13.968618500000005,17,12
59,2009-11-13,2012,200000000,166112167,,,,1.156,2009,Friday,November,166.112167,200.0,-33.887833,-16.9439165,13,11
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,"Adventure,Family,Fantasy",tt4123430,134.0,48.508,2018,Friday,November,159.555901,200.0,-40.444099,-20.2220495,16,11
61,2009-05-21,Terminator Salvation,200000000,125322469,,,,,2009,Thursday,May,125.322469,200.0,-74.677531,-37.3387655,21,5
62,2011-06-17,Green Lantern,200000000,116601172,"Action,Adventure,Sci-Fi",tt1133985,114.0,17.257,2011,Friday,June,116.601172,200.0,-83.39882800000002,-41.699414,17,6
63,2010-05-28,Prince of Persia: Sands of Time,200000000,90759676,,,,,2010,Friday,May,90.759676,200.0,-109.240324,-54.62016200000001,28,5
64,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,"Action,Adventure,Sci-Fi",tt1399103,154.0,5.3389999999999995,2011,Wednesday,June,352.3905430000001,195.0,157.39054299999995,80.71309897435897,29,6
65,2017-06-09,The Mummy,195000000,80101125,"Action,Adventure,Fantasy",tt2345759,110.0,18.53,2017,Friday,June,80.101125,195.0,-114.898875,-58.9225,9,6
66,2013-03-01,Jack the Giant Slayer,195000000,65187603,"Adventure,Fantasy",tt1351685,114.0,12.773,2013,Friday,March,65.187603,195.0,-129.812397,-66.57046,1,3
67,2015-04-03,Furious 7,190000000,353007020,"Action,Crime,Thriller",tt2820852,137.0,20.396,2015,Friday,April,353.00702,190.0,163.00701999999995,85.79316842105264,3,4
68,2013-05-16,Star Trek Into Darkness,190000000,228778661,"Action,Adventure,Sci-Fi",tt1408101,132.0,20.487,2013,Thursday,May,228.778661,190.0,38.778661,20.40982157894737,16,5
69,2013-06-21,World War Z,190000000,202359711,"Action,Adventure,Horror",tt0816711,116.0,14.582,2013,Friday,June,202.359711,190.0,12.359711000000004,6.505111052631579,21,6
70,2013-05-10,The Great Gatsby,190000000,144840419,"Drama,Romance",tt1343092,143.0,15.397,2013,Friday,May,144.840419,190.0,-45.159581,-23.768200526315788,10,5
71,2009-11-06,Disneyâs A Christmas Carol,190000000,137855863,,,,,2009,Friday,November,137.855863,190.0,-52.144137,-27.44428263157895,6,11
72,2013-07-12,Pacific Rim,190000000,101802906,"Action,Adventure,Sci-Fi",tt1663662,131.0,16.759,2013,Friday,July,101.802906,190.0,-88.19709399999998,-46.419523157894744,12,7
73,2015-11-25,The Good Dinosaur,187500000,123087120,"Adventure,Animation,Comedy",tt1979388,93.0,17.675,2015,Wednesday,November,123.08712,187.5,-64.41288,-34.353536,25,11
74,2008-05-02,Iron Man,186000000,318604126,"Comedy,Drama,Family",tt3375556,84.0,,2008,Friday,May,318.60412599999995,186.0,132.604126,71.29254086021507,2,5
75,2008-07-18,The Dark Knight,185000000,533720947,,,,0.6,2008,Friday,July,533.720947,185.0,348.720947,188.49780918918918,18,7
76,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,,,,,2008,Thursday,May,317.101119,185.0,132.10111899999998,71.40601027027026,22,5
77,2012-06-22,Brave,185000000,237282182,"Adventure,Animation,Comedy",tt1217209,93.0,0.6,2012,Friday,June,237.282182,185.0,52.28218200000001,28.260638918918918,22,6
78,2017-03-10,Kong: Skull Island,185000000,168052812,"Action,Adventure,Fantasy",tt3731562,118.0,29.388,2017,Friday,March,168.05281200000005,185.0,-16.94718800000001,-9.160642162162167,10,3
79,2016-07-22,Star Trek Beyond,185000000,158848340,"Action,Adventure,Sci-Fi",tt2660888,122.0,19.142,2016,Friday,July,158.84833999999995,185.0,-26.15166,-14.136032432432428,22,7
80,2017-10-06,Blade Runner 2049,185000000,92054159,"Drama,Mystery,Sci-Fi",tt1856101,164.0,48.57100000000001,2017,Friday,October,92.054159,185.0,-92.945841,-50.240995135135144,6,10
81,2019-05-24,Aladdin,182000000,246734314,"Adventure,Comedy,Family",tt6139732,128.0,,2019,Friday,May,246.734314,182.0,64.73431400000001,35.5683043956044,24,5
82,2017-11-03,Thor: Ragnarok,180000000,315058289,"Action,Adventure,Comedy",tt3501632,130.0,43.45,2017,Friday,November,315.058289,180.0,135.058289,75.03238277777778,3,11
83,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,,,,,2005,Friday,December,291.710957,180.0,111.71095700000001,62.06164277777778,9,12
84,2014-05-30,Maleficent,180000000,241407328,"Action,Adventure,Family",tt1587310,97.0,19.274,2014,Friday,May,241.407328,180.0,61.40732800000001,34.11518222222223,30,5
85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,"Adventure,Family,Fantasy",tt3183660,132.0,28.563000000000002,2016,Friday,November,234.037575,180.0,54.037575,30.020875000000004,18,11
86,2008-06-27,WALL-E,180000000,223808164,,,,,2008,Friday,June,223.808164,180.0,43.80816400000001,24.337868888888888,27,6
87,2007-08-10,Rush Hour 3,180000000,140125968,,,,,2007,Friday,August,140.125968,180.0,-39.874032,-22.15224,10,8
88,2016-07-01,The Legend of Tarzan,180000000,126643061,"Action,Adventure,Drama",tt0918940,110.0,14.797,2016,Friday,July,126.64306100000002,180.0,-53.356939,-29.642743888888887,1,7
89,2011-11-23,Hugo,180000000,73864507,"Adventure,Drama,Family",tt0970179,126.0,12.936,2011,Wednesday,November,73.86450699999997,180.0,-106.135493,-58.96416277777778,23,11
90,2017-07-21,Valerian and the City of a Thousand Planets,180000000,40479370,"Action,Adventure,Fantasy",tt2239822,137.0,24.003,2017,Friday,July,40.47937,180.0,-139.52062999999998,-77.5114611111111,21,7
91,2015-02-06,Jupiter Ascending,179000000,47482519,"Action,Adventure,Sci-Fi",tt1617661,127.0,24.058000000000003,2015,Friday,February,47.482519,179.0,-131.517481,-73.4734530726257,6,2
92,2018-07-27,Mission: ImpossibleâFallout,178000000,220159104,,,,,2018,Friday,July,220.159104,178.0,42.159104000000006,23.68488988764045,27,7
93,2016-05-27,X-Men: Apocalypse,178000000,155442489,"Action,Adventure,Sci-Fi",tt3385516,144.0,39.293,2016,Friday,May,155.442489,178.0,-22.557511000000005,-12.672758988764048,27,5
94,2018-08-10,The Meg,178000000,145443742,"Action,Horror,Sci-Fi",tt4779682,113.0,31.397,2018,Friday,August,145.443742,178.0,-32.55625800000001,-18.29003258426967,10,8
95,2014-06-06,Edge of Tomorrow,178000000,100206256,"Action,Sci-Fi",tt1631867,113.0,19.753,2014,Friday,June,100.206256,178.0,-77.79374399999998,-43.70435056179775,6,6
96,2019-03-08,Captain Marvel,175000000,426525952,"Action,Adventure,Sci-Fi",tt4154664,123.0,,2019,Friday,March,426.525952,175.0,251.525952,143.72911542857142,8,3
97,2016-04-15,The Jungle Book,175000000,364001123,Animation,tt2226178,64.0,20.129,2016,Friday,April,364.001123,175.0,189.001123,108.00064171428572,15,4
98,2015-06-19,Inside Out,175000000,356461711,"Crime,Drama",tt1640486,93.0,4.758,2015,Friday,June,356.461711,175.0,181.461711,103.69240628571428,19,6
99,2017-07-07,Spider-Man: Homecoming,175000000,334201140,"Action,Adventure,Sci-Fi",tt2250912,133.0,46.775,2017,Friday,July,334.20114,175.0,159.20113999999995,90.97208,7,7
100,2016-08-05,Suicide Squad,175000000,325100054,"Action,Adventure,Fantasy",tt1386697,123.0,16.53,2016,Friday,August,325.100054,175.0,150.100054,85.77145942857143,5,8
1,2009-05-29,Up,175000000,293004164,,,,,2009,Friday,May,293.004164,175.0,118.004164,67.43095085714286,29,5
2,2017-11-22,Coco,175000000,209726015,,tt10453328,,25.961,2017,Wednesday,November,209.726015,175.0,34.72601499999999,19.843437142857137,22,11
3,2018-11-21,Ralph Breaks The Internet,175000000,201091711,,,,,2018,Wednesday,November,201.091711,175.0,26.091711000000004,14.909549142857143,21,11
4,2009-03-27,Monsters vs. Aliens,175000000,198351526,,,,,2009,Friday,March,198.351526,175.0,23.35152600000001,13.343729142857145,27,3
5,2017-06-16,Cars 3,175000000,152901115,"Adventure,Animation,Comedy",tt3606752,102.0,18.427,2017,Friday,June,152.901115,175.0,-22.098885,-12.627934285714286,16,6
6,2009-08-07,G.I. Joe: The Rise of Cobra,175000000,150201498,,,,,2009,Friday,August,150.201498,175.0,-24.79850200000001,-14.17057257142858,7,8
8,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,,,,,2008,Friday,August,102.491776,175.0,-72.508224,-41.43327085714286,1,8
9,2007-06-22,Evan Almighty,175000000,100289690,,,,,2007,Friday,June,100.28969,175.0,-74.71030999999998,-42.691605714285714,22,6
11,2017-05-12,King Arthur: Legend of the Sword,175000000,39175066,"Action,Adventure,Drama",tt1972591,126.0,21.79300000000001,2017,Friday,May,39.175066,175.0,-135.82493399999998,-77.614248,12,5
12,2013-12-25,47 Ronin,175000000,38362475,"Action,Adventure,Drama",tt1335975,128.0,25.049,2013,Wednesday,December,38.362475,175.0,-136.63752499999998,-78.07858571428571,25,12
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,"Action,Adventure,Sci-Fi",tt4881806,128.0,34.958,2018,Friday,June,417.71976,170.0,247.71976,145.71750588235295,22,6
14,2014-08-01,Guardians of the Galaxy,170000000,333172112,"Action,Adventure,Comedy",tt2015381,121.0,49.606,2014,Friday,August,333.172112,170.0,163.17211200000003,95.98359529411766,1,8
15,2010-05-07,Iron Man 2,170000000,312433331,"Action,Adventure,Sci-Fi",tt1228705,124.0,28.515,2010,Friday,May,312.433331,170.0,142.433331,83.78431235294119,7,5
16,2014-04-04,Captain America: The Winter Soldier,170000000,259746958,"Action,Adventure,Sci-Fi",tt1843866,136.0,18.073,2014,Friday,April,259.746958,170.0,89.74695799999998,52.792328235294114,4,4
17,2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,"Action,Adventure,Drama",tt2103281,130.0,27.641,2014,Friday,July,208.545589,170.0,38.54558900000001,22.673875882352945,11,7
18,2004-11-10,The Polar Express,170000000,187224605,,,,,2004,Wednesday,November,187.224605,170.0,17.224604999999997,10.132120588235292,10,11
19,2012-06-01,Snow White and the Huntsman,170000000,155136755,"Action,Adventure,Drama",tt1735898,127.0,21.233,2012,Friday,June,155.136755,170.0,-14.863245000000004,-8.743085294117652,1,6
20,2003-07-01,Terminator 3: Rise of the Machines,170000000,150358296,,,,,2003,Tuesday,July,150.358296,170.0,-19.641704000000004,-11.553943529411766,1,7
21,2004-05-07,Van Helsing,170000000,120150546,,,,15.259,2004,Friday,May,120.150546,170.0,-49.849453999999994,-29.323208235294114,7,5
22,2019-03-29,Dumbo,170000000,113883318,"Adventure,Family,Fantasy",tt3861390,112.0,,2019,Friday,March,113.883318,170.0,-56.116682,-33.00981294117647,29,3
23,2015-05-22,Tomorrowland,170000000,93436322,"Action,Adventure,Family",tt1964418,130.0,20.136,2015,Friday,May,93.436322,170.0,-76.563678,-45.03745764705882,22,5
24,2019-02-14,Alita: Battle Angel,170000000,85710210,"Action,Adventure,Sci-Fi",tt0437086,122.0,,2019,Thursday,February,85.71021,170.0,-84.28979,-49.58222941176471,14,2
25,2019-05-31,Godzilla: King of the Monsters,170000000,85576941,"Action,Adventure,Fantasy",tt3741700,132.0,,2019,Friday,May,85.576941,170.0,-84.423059,-49.66062294117647,31,5
26,2016-05-27,Alice Through the Looking Glass,170000000,77042381,"Adventure,Family,Fantasy",tt2567026,113.0,16.642,2016,Friday,May,77.042381,170.0,-92.957619,-54.68095235294117,27,5
27,2010-05-21,Shrek Forever After,165000000,238736787,"Adventure,Animation,Comedy",tt0892791,93.0,15.040999999999999,2010,Friday,May,238.736787,165.0,73.73678699999998,44.68896181818182,21,5
28,2016-11-04,Doctor Strange,165000000,232641920,"Action,Adventure,Fantasy",tt1211837,115.0,33.035,2016,Friday,November,232.64192000000003,165.0,67.64192,40.99510303030304,4,11
29,2014-11-07,Big Hero 6,165000000,222527828,"Action,Adventure,Animation",tt2245084,102.0,36.92,2014,Friday,November,222.527828,165.0,57.527828,34.865350303030304,7,11
30,2010-03-26,How to Train Your Dragon,165000000,217581232,"Action,Adventure,Animation",tt0892769,98.0,28.734,2010,Friday,March,217.581232,165.0,52.58123199999999,31.86741333333333,26,3
31,2012-11-02,Wreck-It Ralph,165000000,189412677,"Adventure,Animation,Comedy",tt1772341,101.0,22.967,2012,Friday,November,189.412677,165.0,24.412677,14.795561818181815,2,11
32,2014-11-05,Interstellar,165000000,188017894,"Adventure,Drama,Sci-Fi",tt0816692,169.0,28.44,2014,Wednesday,November,188.017894,165.0,23.01789400000001,13.950238787878794,5,11
33,2016-06-24,Independence Day: Resurgence,165000000,103144286,"Action,Adventure,Sci-Fi",tt1628841,120.0,15.732000000000001,2016,Friday,June,103.144286,165.0,-61.855714000000006,-37.48831151515152,24,6
34,2011-07-29,Cowboys and Aliens,163000000,100368560,,,,,2011,Friday,July,100.36856,163.0,-62.63144000000001,-38.42419631901841,29,7
35,2017-03-17,Beauty and the Beast,160000000,504014165,"Drama,Fantasy,Romance",tt2316801,112.0,26.701,2017,Friday,March,504.01416500000005,160.0,344.014165,215.008853125,17,3
36,2018-12-21,Aquaman,160000000,335061807,"Action,Adventure,Fantasy",tt1477834,143.0,38.102,2018,Friday,December,335.061807,160.0,175.06180700000004,109.413629375,21,12
37,2007-05-17,Shrek the Third,160000000,322719944,,,,,2007,Thursday,May,322.719944,160.0,162.719944,101.699965,17,5
38,2010-07-16,Inception,160000000,292576195,"Action,Adventure,Sci-Fi",tt1375666,148.0,27.92,2010,Friday,July,292.5761950000001,160.0,132.57619499999998,82.86012187499998,16,7
39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000,281723902,"Action,Adventure,Sci-Fi",tt1951266,137.0,19.487000000000002,2015,Friday,November,281.723902,160.0,121.723902,76.07743875,20,11
40,2013-05-24,Fast and Furious 6,160000000,238679850,,,,,2013,Friday,May,238.67985,160.0,78.67984999999999,49.17490624999999,24,5
41,2014-05-16,Godzilla,160000000,200676069,"Action,Adventure,Sci-Fi",tt0831387,123.0,24.982,2014,Friday,May,200.676069,160.0,40.67606900000001,25.422543125000008,16,5
42,2011-06-03,X-Men: First Class,160000000,146408305,"Action,Adventure,Sci-Fi",tt1270798,131.0,1.4469999999999998,2011,Friday,June,146.408305,160.0,-13.591694999999987,-8.494809374999992,3,6
43,2008-12-25,The Curious Case of Benjamin Button,160000000,127509326,,,,,2008,Thursday,December,127.509326,160.0,-32.490674,-20.30667125,25,12
44,2010-07-14,The Sorcerer's Apprentice,160000000,63150991,"Action,Adventure,Family",tt0963966,109.0,14.463,2010,Wednesday,July,63.15099100000001,160.0,-96.849009,-60.53063062499999,14,7
45,2006-05-12,Poseidon,160000000,60674817,,,,,2006,Friday,May,60.674817,160.0,-99.325183,-62.07823937500001,12,5
46,2016-06-10,Warcraft,160000000,47225655,"Action,Adventure,Fantasy",tt0803096,123.0,21.464000000000002,2016,Friday,June,47.225655,160.0,-112.774345,-70.483965625,10,6
47,2016-09-30,Deepwater Horizon,156000000,61433527,"Action,Drama,History",tt1860357,107.0,13.685,2016,Friday,September,61.43352700000001,156.0,-94.566473,-60.619533974358966,30,9
48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,"Adventure,Family,Fantasy",tt0980970,113.0,17.382,2010,Friday,December,104.38695,155.0,-50.61305,-32.65358064516129,10,12
49,2015-07-01,Terminator: Genisys,155000000,89760956,,,,,2015,Wednesday,July,89.76095600000002,155.0,-65.23904399999999,-42.08970580645162,1,7
50,2018-03-23,Pacific Rim: Uprising,155000000,59874525,"Action,Adventure,Sci-Fi",tt2557478,111.0,30.019000000000002,2018,Friday,March,59.874525,155.0,-95.125475,-61.3712741935484,23,3
51,2004-11-24,Alexander,155000000,34297191,,,,,2004,Wednesday,November,34.297191,155.0,-120.702809,-77.87277999999998,24,11
52,2017-07-14,War for the Planet of the Apes,152000000,146880162,"Action,Adventure,Drama",tt3450958,140.0,23.445,2017,Friday,July,146.880162,152.0,-5.119837999999987,-3.3683144736842023,14,7
53,2001-05-25,Pearl Harbor,151500000,198539855,,,,,2001,Friday,May,198.539855,151.5,47.03985499999999,31.049409240924085,25,5
54,2007-07-02,Transformers,151000000,319246193,,,,,2007,Monday,July,319.246193,151.0,168.246193,111.42131986754964,2,7
55,2017-06-02,Wonder Woman,150000000,412563408,"Action,Adventure,Fantasy",tt0451279,141.0,2.841,2017,Friday,June,412.563408,150.0,262.563408,175.04227199999997,2,6
56,2013-11-22,Frozen,150000000,400738009,"Adventure,Drama,Sport",tt1323045,93.0,9.677999999999999,2013,Friday,November,400.738009,150.0,250.73800899999998,167.15867266666663,22,11
57,2016-03-04,Zootopia,150000000,341268248,"Adventure,Animation,Comedy",tt2948356,108.0,27.549,2016,Friday,March,341.268248,150.0,191.26824800000003,127.51216533333336,4,3
58,2007-07-11,Harry Potter and the Order of the Phoenix,150000000,292137260,,,,,2007,Wednesday,July,292.13726,150.0,142.13726000000003,94.75817333333336,11,7
59,2005-11-18,Harry Potter and the Goblet of Fire,150000000,290201752,,,,,2005,Friday,November,290.201752,150.0,140.201752,93.46783466666668,18,11
60,2003-05-15,The Matrix Reloaded,150000000,281553689,,,,,2003,Thursday,May,281.553689,150.0,131.55368900000002,87.70245933333334,15,5
61,2007-12-14,I am Legend,150000000,256393010,,,,,2007,Friday,December,256.39301,150.0,106.39301,70.92867333333334,14,12
62,2016-11-23,Moana,150000000,248757044,"Adventure,Animation,Comedy",tt3521164,107.0,1.96,2016,Wednesday,November,248.757044,150.0,98.757044,65.83802933333334,23,11
63,2008-07-01,Hancock,150000000,227946274,,,,,2008,Tuesday,July,227.946274,150.0,77.94627399999997,51.96418266666666,1,7
64,2005-07-15,Charlie and the Chocolate Factory,150000000,206459076,,,,,2005,Friday,July,206.459076,150.0,56.45907600000001,37.63938400000001,15,7
